2025-04-10 20:45:59 [main] INFO  Log - Cicking Login button...
2025-04-10 20:45:59 [main] INFO  Log - Verifying page title
2025-04-10 20:45:59 [main] INFO  Log - Closing Browser...
2025-04-10 20:45:59 [main] INFO  Log - Starting WebDriver...
2025-04-10 20:46:02 [main] INFO  Log - Navigating to URL...
2025-04-10 20:46:03 [main] INFO  Log - Starting login test...
2025-04-10 20:46:03 [main] INFO  Log - Adding credentials
2025-04-10 20:46:04 [main] INFO  Log - Cicking Login button...
2025-04-10 20:46:04 [main] INFO  Log - Verifying page title
2025-04-10 20:46:04 [main] INFO  Log - Closing Browser...
2025-04-10 20:46:05 [main] INFO  Log - Starting WebDriver...
2025-04-10 20:46:07 [main] INFO  Log - Navigating to URL...
2025-04-10 20:46:08 [main] INFO  Log - Starting login test...
2025-04-10 20:46:08 [main] INFO  Log - Adding credentials
